template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
TPL_SEG_01_PREMIUM_AFFIRMATION_01,SEG_01,paid,engagement,empowerment,evening,4969,296,48,0.0597,0.1649,0.0365,BAD
TPL_SEG_01_PREMIUM_AFFIRMATION_02,SEG_01,paid,engagement,empowerment,evening,1926,147,61,0.0768,0.4197,0.0107,NEUTRAL
TPL_SEG_01_PREMIUM_AFFIRMATION_03,SEG_01,paid,engagement,empowerment,evening,3298,255,49,0.0776,0.1955,0.0220,BAD
TPL_SEG_01_PREMIUM_AFFIRMATION_04,SEG_01,paid,engagement,empowerment,evening,2811,192,30,0.0683,0.1576,0.0186,BAD
TPL_SEG_01_PREMIUM_AFFIRMATION_05,SEG_01,paid,engagement,empowerment,evening,4199,827,299,0.1971,0.3622,0.0135,NEUTRAL
TPL_SEG_01_DEEP_IMMERSION_01,SEG_01,paid,engagement,empowerment,evening,1951,40,11,0.0210,0.2995,0.0378,BAD
TPL_SEG_01_DEEP_IMMERSION_02,SEG_01,paid,engagement,empowerment,evening,2391,60,19,0.0252,0.3180,0.0291,BAD
TPL_SEG_01_DEEP_IMMERSION_03,SEG_01,paid,engagement,empowerment,evening,4820,280,46,0.0583,0.1657,0.0298,BAD
TPL_SEG_01_DEEP_IMMERSION_04,SEG_01,paid,engagement,empowerment,evening,1453,259,163,0.1787,0.6297,0.0129,GOOD
TPL_SEG_01_DEEP_IMMERSION_05,SEG_01,paid,engagement,empowerment,evening,4842,283,50,0.0585,0.1779,0.0301,BAD
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01,SEG_01,paid,engagement,empowerment,evening,3104,780,519,0.2513,0.6655,0.0061,GOOD
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_02,SEG_01,paid,engagement,empowerment,evening,1222,17,4,0.0140,0.2486,0.0269,BAD
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03,SEG_01,paid,engagement,empowerment,evening,2466,550,371,0.2233,0.6753,0.0131,GOOD
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04,SEG_01,paid,engagement,empowerment,evening,3913,194,17,0.0497,0.0907,0.0357,BAD
