template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
TPL_00001,S1,trial,onboarding,accomplishment,evening,1157,191,81,0.1653,0.4290,0.0117,GOOD
TPL_00002,S1,trial,onboarding,accomplishment,evening,1794,345,150,0.1926,0.4374,0.0120,GOOD
TPL_00003,S1,trial,onboarding,accomplishment,evening,2227,470,235,0.2112,0.5006,0.0072,GOOD
TPL_00004,S1,trial,onboarding,accomplishment,evening,2656,609,267,0.2295,0.4390,0.0024,GOOD
TPL_00005,S1,trial,onboarding,accomplishment,evening,2552,161,13,0.0634,0.0828,0.0331,BAD
TPL_00006,S1,trial,onboarding,accomplishment,evening,4796,278,46,0.0581,0.1670,0.0276,BAD
TPL_00007,S1,trial,onboarding,accomplishment,evening,1932,383,185,0.1985,0.4838,0.0106,GOOD
TPL_00008,S1,trial,onboarding,accomplishment,evening,2065,421,211,0.2042,0.5020,0.0036,GOOD
TPL_00009,S1,trial,onboarding,accomplishment,evening,4012,769,160,0.1918,0.2081,0.0195,NEUTRAL
TPL_00010,S1,trial,onboarding,accomplishment,evening,3474,919,374,0.2646,0.4070,0.0130,GOOD
TPL_00011,S1,trial,feature_discovery,accomplishment,evening,2523,564,306,0.2238,0.5426,0.0040,GOOD
TPL_00012,S1,trial,feature_discovery,accomplishment,evening,1780,341,198,0.1920,0.5827,0.0086,GOOD
TPL_00013,S1,trial,feature_discovery,accomplishment,evening,4179,821,214,0.1966,0.2618,0.0121,NEUTRAL
TPL_00014,S1,trial,feature_discovery,accomplishment,evening,4452,909,328,0.2044,0.3615,0.0128,NEUTRAL
TPL_00015,S1,trial,feature_discovery,accomplishment,evening,1504,100,39,0.0668,0.3935,0.0082,NEUTRAL
TPL_00016,S1,trial,feature_discovery,accomplishment,evening,3301,256,42,0.0776,0.1650,0.0329,BAD
TPL_00017,S1,trial,feature_discovery,accomplishment,evening,3898,192,31,0.0495,0.1622,0.0384,BAD
TPL_00018,S1,trial,feature_discovery,accomplishment,evening,2095,46,8,0.0223,0.1914,0.0288,BAD
TPL_00019,S1,trial,feature_discovery,accomplishment,evening,887,9,2,0.0108,0.2308,0.0253,BAD
TPL_00020,S1,trial,feature_discovery,accomplishment,evening,2942,208,32,0.0708,0.1545,0.0197,BAD
TPL_00021,S1,trial,progress_milestone,accomplishment,evening,4318,1298,592,0.3007,0.4568,0.0068,GOOD
TPL_00022,S1,trial,progress_milestone,accomplishment,evening,1071,173,88,0.1616,0.5138,0.0080,GOOD
TPL_00023,S1,trial,progress_milestone,accomplishment,evening,2742,263,129,0.0962,0.4934,0.0186,NEUTRAL
TPL_00024,S1,trial,progress_milestone,accomplishment,evening,3012,737,353,0.2448,0.4793,0.0121,GOOD
TPL_00025,S1,trial,progress_milestone,accomplishment,evening,3696,314,47,0.0852,0.1502,0.0288,BAD
TPL_00026,S1,trial,progress_milestone,accomplishment,evening,2749,184,22,0.0671,0.1215,0.0268,BAD
TPL_00027,S1,trial,progress_milestone,accomplishment,evening,3604,973,433,0.2701,0.4452,0.0101,GOOD
TPL_00028,S1,trial,progress_milestone,accomplishment,evening,4978,1637,1030,0.3290,0.6297,0.0103,GOOD
TPL_00029,S1,trial,progress_milestone,accomplishment,evening,4368,882,333,0.2020,0.3777,0.0209,NEUTRAL
TPL_00030,S1,trial,progress_milestone,accomplishment,evening,3007,735,332,0.2446,0.4523,0.0062,GOOD
TPL_00031,S1,paid,progress_milestone,accomplishment,evening,4755,274,40,0.0577,0.1484,0.0299,BAD
TPL_00032,S1,paid,progress_milestone,accomplishment,evening,3389,589,202,0.1740,0.3432,0.0172,NEUTRAL
TPL_00033,S1,paid,progress_milestone,accomplishment,evening,3801,1062,681,0.2795,0.6417,0.0102,GOOD
TPL_00034,S1,paid,progress_milestone,accomplishment,evening,4154,215,30,0.0519,0.1441,0.0270,BAD
TPL_00035,S1,paid,progress_milestone,accomplishment,evening,2382,519,272,0.2183,0.5246,0.0111,GOOD
TPL_00036,S1,paid,progress_milestone,accomplishment,evening,1159,67,27,0.0586,0.4070,0.0213,NEUTRAL
TPL_00037,S1,paid,progress_milestone,accomplishment,evening,3038,220,15,0.0726,0.0723,0.0397,BAD
TPL_00038,S1,paid,progress_milestone,accomplishment,evening,4295,228,24,0.0533,0.1089,0.0325,BAD
TPL_00039,S1,paid,progress_milestone,accomplishment,evening,2180,180,80,0.0829,0.4491,0.0172,NEUTRAL
TPL_00040,S1,paid,progress_milestone,accomplishment,evening,4526,1406,738,0.3108,0.5256,0.0024,GOOD
TPL_00041,S1,paid,advanced_practice,accomplishment,evening,4012,202,35,0.0506,0.1736,0.0361,BAD
TPL_00042,S1,paid,advanced_practice,accomplishment,evening,2151,176,92,0.0822,0.5248,0.0080,NEUTRAL
TPL_00043,S1,paid,advanced_practice,accomplishment,evening,3735,320,27,0.0859,0.0848,0.0255,BAD
TPL_00044,S1,paid,advanced_practice,accomplishment,evening,2739,183,9,0.0669,0.0542,0.0242,BAD
TPL_00045,S1,paid,advanced_practice,accomplishment,evening,4462,1374,552,0.3080,0.4024,0.0056,GOOD
TPL_00046,S1,paid,advanced_practice,accomplishment,evening,2652,609,346,0.2299,0.5683,0.0073,GOOD
TPL_00047,S1,paid,advanced_practice,accomplishment,evening,4243,1266,561,0.2986,0.4433,0.0085,GOOD
TPL_00048,S1,paid,advanced_practice,accomplishment,evening,1526,102,41,0.0673,0.4064,0.0140,NEUTRAL
TPL_00049,S1,paid,advanced_practice,accomplishment,evening,1229,207,109,0.1685,0.5271,0.0118,GOOD
TPL_00050,S1,paid,advanced_practice,accomplishment,evening,2503,559,373,0.2235,0.6690,0.0078,GOOD
TPL_00051,S1,paid,leaderboard_progress,accomplishment,evening,3777,182,30,0.0484,0.1681,0.0328,BAD
TPL_00052,S1,paid,leaderboard_progress,accomplishment,evening,1235,17,2,0.0141,0.1698,0.0272,BAD
TPL_00053,S1,paid,leaderboard_progress,accomplishment,evening,2853,197,10,0.0691,0.0532,0.0170,BAD
TPL_00054,S1,paid,leaderboard_progress,accomplishment,evening,3164,797,513,0.2520,0.6449,0.0123,GOOD
TPL_00055,S1,paid,leaderboard_progress,accomplishment,evening,1987,399,187,0.2012,0.4706,0.0031,GOOD
TPL_00056,S1,paid,leaderboard_progress,accomplishment,evening,1357,236,143,0.1741,0.6066,0.0134,GOOD
TPL_00057,S1,paid,leaderboard_progress,accomplishment,evening,2527,567,343,0.2245,0.6052,0.0068,GOOD
TPL_00058,S1,paid,leaderboard_progress,accomplishment,evening,4826,281,53,0.0583,0.1893,0.0379,BAD
TPL_00059,S1,paid,leaderboard_progress,accomplishment,evening,914,141,93,0.1550,0.6625,0.0078,GOOD
TPL_00060,S1,paid,leaderboard_progress,accomplishment,evening,3273,558,139,0.1707,0.2501,0.0145,NEUTRAL
TPL_00061,S1,churned,reactivation,accomplishment,evening,1320,82,40,0.0624,0.4884,0.0094,NEUTRAL
TPL_00062,S1,churned,reactivation,accomplishment,evening,4431,241,46,0.0546,0.1947,0.0184,BAD
TPL_00063,S1,churned,reactivation,accomplishment,evening,4999,299,49,0.0600,0.1650,0.0178,BAD
TPL_00064,S1,churned,reactivation,accomplishment,evening,4448,1347,659,0.3029,0.4898,0.0117,GOOD
TPL_00065,S1,churned,reactivation,accomplishment,evening,2777,646,385,0.2329,0.5973,0.0130,GOOD
TPL_00066,S1,churned,reactivation,accomplishment,evening,2878,200,26,0.0696,0.1326,0.0288,BAD
TPL_00067,S1,churned,reactivation,accomplishment,evening,4298,229,20,0.0533,0.0900,0.0396,BAD
TPL_00068,S1,churned,reactivation,accomplishment,evening,2936,207,24,0.0707,0.1187,0.0347,BAD
TPL_00069,S1,churned,reactivation,accomplishment,evening,2071,421,248,0.2033,0.5896,0.0119,GOOD
TPL_00070,S1,churned,reactivation,accomplishment,evening,2032,161,83,0.0793,0.5208,0.0201,NEUTRAL
TPL_00071,S1,churned,progress_milestone,accomplishment,evening,3960,753,169,0.1903,0.2253,0.0207,NEUTRAL
TPL_00072,S1,churned,progress_milestone,accomplishment,evening,982,154,73,0.1576,0.4755,0.0110,GOOD
TPL_00073,S1,churned,progress_milestone,accomplishment,evening,2504,226,92,0.0906,0.4081,0.0137,NEUTRAL
TPL_00074,S1,churned,progress_milestone,accomplishment,evening,1721,123,59,0.0719,0.4816,0.0184,NEUTRAL
TPL_00075,S1,churned,progress_milestone,accomplishment,evening,1125,14,4,0.0131,0.3061,0.0206,BAD
TPL_00076,S1,churned,progress_milestone,accomplishment,evening,3477,613,203,0.1765,0.3317,0.0080,NEUTRAL
TPL_00077,S1,churned,progress_milestone,accomplishment,evening,1880,38,8,0.0203,0.2202,0.0234,BAD
TPL_00078,S1,churned,progress_milestone,accomplishment,evening,3971,756,250,0.1906,0.3307,0.0223,NEUTRAL
TPL_00079,S1,churned,progress_milestone,accomplishment,evening,4135,214,33,0.0518,0.1567,0.0229,BAD
TPL_00080,S1,churned,progress_milestone,accomplishment,evening,3000,488,194,0.1629,0.3995,0.0187,NEUTRAL
TPL_00081,S1,churned,easy_lesson,accomplishment,evening,4379,1313,828,0.3000,0.6311,0.0035,GOOD
TPL_00082,S1,churned,easy_lesson,accomplishment,evening,3903,736,195,0.1887,0.2659,0.0129,NEUTRAL
TPL_00083,S1,churned,easy_lesson,accomplishment,evening,3601,648,230,0.1800,0.3563,0.0192,NEUTRAL
TPL_00084,S1,churned,easy_lesson,accomplishment,evening,1484,265,119,0.1787,0.4496,0.0023,GOOD
TPL_00085,S1,churned,easy_lesson,accomplishment,evening,1779,130,66,0.0733,0.5143,0.0208,NEUTRAL
TPL_00086,S1,churned,easy_lesson,accomplishment,evening,4111,1187,681,0.2888,0.5743,0.0118,GOOD
TPL_00087,S1,churned,easy_lesson,accomplishment,evening,3175,532,112,0.1679,0.2113,0.0210,NEUTRAL
TPL_00088,S1,churned,easy_lesson,accomplishment,evening,1851,37,12,0.0200,0.3499,0.0395,BAD
TPL_00089,S1,churned,easy_lesson,accomplishment,evening,4853,1552,757,0.3199,0.4880,0.0120,GOOD
TPL_00090,S1,churned,easy_lesson,accomplishment,evening,1138,66,31,0.0581,0.4845,0.0197,NEUTRAL
TPL_00091,S1,inactive,easy_lesson,accomplishment,evening,2889,201,28,0.0698,0.1400,0.0358,BAD
TPL_00092,S1,inactive,easy_lesson,accomplishment,evening,1162,15,3,0.0134,0.2641,0.0391,BAD
TPL_00093,S1,inactive,easy_lesson,accomplishment,evening,4940,1623,1017,0.3287,0.6266,0.0085,GOOD
TPL_00094,S1,inactive,easy_lesson,accomplishment,evening,4288,228,42,0.0532,0.1852,0.0386,BAD
TPL_00095,S1,inactive,easy_lesson,accomplishment,evening,2698,256,124,0.0952,0.4873,0.0086,NEUTRAL
TPL_00096,S1,inactive,easy_lesson,accomplishment,evening,2817,667,267,0.2370,0.4012,0.0135,GOOD
TPL_00097,S1,inactive,easy_lesson,accomplishment,evening,864,9,1,0.0106,0.1827,0.0168,BAD
TPL_00098,S1,inactive,easy_lesson,accomplishment,evening,4786,277,52,0.0580,0.1887,0.0264,BAD
TPL_00099,S1,inactive,easy_lesson,accomplishment,evening,4480,1383,683,0.3088,0.4943,0.0119,GOOD
TPL_00100,S1,inactive,easy_lesson,accomplishment,evening,2882,286,155,0.0996,0.5427,0.0129,NEUTRAL
TPL_00101,S1,inactive,reactivation,accomplishment,evening,3169,799,390,0.2523,0.4891,0.0077,GOOD
TPL_00102,S1,inactive,reactivation,accomplishment,evening,4635,261,26,0.0565,0.1008,0.0166,BAD
TPL_00103,S1,inactive,reactivation,accomplishment,evening,2375,517,345,0.2180,0.6686,0.0083,GOOD
TPL_00104,S1,inactive,reactivation,accomplishment,evening,2384,520,261,0.2184,0.5027,0.0031,GOOD
TPL_00105,S1,inactive,reactivation,accomplishment,evening,1650,115,52,0.0703,0.4594,0.0126,NEUTRAL
TPL_00106,S1,inactive,reactivation,accomplishment,evening,4563,1425,729,0.3124,0.5118,0.0080,GOOD
TPL_00107,S1,inactive,reactivation,accomplishment,evening,1197,71,25,0.0595,0.3527,0.0081,NEUTRAL
TPL_00108,S1,inactive,reactivation,accomplishment,evening,2615,168,16,0.0646,0.0995,0.0331,BAD
TPL_00109,S1,inactive,reactivation,accomplishment,evening,4768,1017,312,0.2134,0.3077,0.0126,NEUTRAL
TPL_00110,S1,inactive,reactivation,accomplishment,evening,4614,964,256,0.2090,0.2657,0.0094,NEUTRAL
TPL_00111,S1,inactive,light_engagement,accomplishment,evening,2646,607,308,0.2297,0.5075,0.0031,GOOD
