template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
Inactive_Socialite_Day_1_Unpredictability_T1,0,inactive,engagement,unpredictability,evening,4579,256,28,0.0560,0.1117,0.0358,BAD
Inactive_Socialite_Day_1_Unpredictability_T2,0,inactive,engagement,unpredictability,evening,3843,1098,633,0.2859,0.5768,0.0037,GOOD
Inactive_Socialite_Day_1_Unpredictability_T3,0,inactive,engagement,unpredictability,evening,2519,158,20,0.0627,0.1287,0.0169,BAD
Inactive_Socialite_Day_1_Unpredictability_T4,0,inactive,engagement,unpredictability,evening,2651,616,377,0.2327,0.6129,0.0023,GOOD
Inactive_Socialite_Day_1_Unpredictability_T5,0,inactive,engagement,unpredictability,evening,943,147,64,0.1564,0.4400,0.0083,GOOD
Inactive_Socialite_Day_7_Unpredictability_T1,0,inactive,engagement,unpredictability,evening,2993,486,191,0.1627,0.3934,0.0221,NEUTRAL
Inactive_Socialite_Day_7_Unpredictability_T2,0,inactive,engagement,unpredictability,evening,3768,181,26,0.0483,0.1489,0.0398,BAD
Inactive_Socialite_Day_7_Unpredictability_T3,0,inactive,engagement,unpredictability,evening,3980,759,160,0.1909,0.2109,0.0188,NEUTRAL
Inactive_Socialite_Day_7_Unpredictability_T4,0,inactive,engagement,unpredictability,evening,1835,360,229,0.1962,0.6375,0.0113,GOOD
Inactive_Socialite_Day_7_Unpredictability_T5,0,inactive,engagement,unpredictability,evening,1826,357,179,0.1958,0.5034,0.0076,GOOD
Inactive_Socialite_Day_14_Unpredictability_T1,0,inactive,engagement,unpredictability,evening,2317,199,66,0.0861,0.3332,0.0185,NEUTRAL
Inactive_Socialite_Day_14_Unpredictability_T2,0,inactive,engagement,unpredictability,evening,4705,1526,753,0.3244,0.4939,0.0029,GOOD
Inactive_Socialite_Day_14_Unpredictability_T3,0,inactive,engagement,unpredictability,evening,4502,926,208,0.2058,0.2257,0.0134,NEUTRAL
Inactive_Socialite_Day_14_Unpredictability_T4,0,inactive,engagement,unpredictability,evening,4386,888,285,0.2025,0.3217,0.0228,NEUTRAL
Inactive_Socialite_Day_14_Unpredictability_T5,0,inactive,engagement,unpredictability,evening,3886,191,32,0.0494,0.1718,0.0251,BAD
Inactive_Socialite_Day_30_Unpredictability_T1,0,inactive,engagement,unpredictability,evening,2389,60,12,0.0251,0.2107,0.0150,BAD
