template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
TPL_0001,0,churned,re_engagement,loss_avoidance,evening,4211,1256,797,0.2984,0.6346,0.0115,GOOD
TPL_0002,0,churned,re_engagement,loss_avoidance,evening,4788,1024,340,0.2140,0.3328,0.0183,NEUTRAL
TPL_0003,0,churned,re_engagement,loss_avoidance,evening,4152,812,242,0.1958,0.2982,0.0091,NEUTRAL
TPL_0004,0,churned,re_engagement,loss_avoidance,evening,2114,47,7,0.0225,0.1683,0.0240,BAD
TPL_0005,0,churned,re_engagement,loss_avoidance,evening,2231,473,251,0.2122,0.5309,0.0121,GOOD
TPL_0006,0,churned,re_engagement,social_influence,evening,1160,67,21,0.0586,0.3161,0.0096,NEUTRAL
TPL_0007,0,churned,re_engagement,social_influence,evening,1215,72,30,0.0599,0.4189,0.0090,NEUTRAL
TPL_0008,0,churned,re_engagement,social_influence,evening,2632,246,83,0.0936,0.3388,0.0154,NEUTRAL
TPL_0009,0,churned,re_engagement,social_influence,evening,4310,1304,628,0.3027,0.4823,0.0020,GOOD
TPL_0010,0,churned,re_engagement,social_influence,evening,4227,1264,825,0.2990,0.6535,0.0075,GOOD
TPL_0011,0,inactive,activation,unpredictability,evening,1314,227,118,0.1729,0.5198,0.0090,GOOD
TPL_0012,0,inactive,activation,unpredictability,evening,1368,239,142,0.1753,0.5965,0.0106,GOOD
TPL_0013,0,inactive,activation,unpredictability,evening,4621,966,239,0.2092,0.2475,0.0189,NEUTRAL
TPL_0014,0,inactive,activation,unpredictability,evening,3856,722,187,0.1873,0.2603,0.0140,NEUTRAL
TPL_0015,0,inactive,activation,unpredictability,evening,814,40,11,0.0503,0.2767,0.0180,NEUTRAL
TPL_0016,0,inactive,activation,epic_meaning,evening,3995,1167,569,0.2921,0.4877,0.0025,GOOD
TPL_0017,0,inactive,activation,epic_meaning,evening,1776,130,48,0.0733,0.3704,0.0153,NEUTRAL
TPL_0018,0,inactive,activation,epic_meaning,evening,4524,250,24,0.0555,0.0971,0.0209,BAD
TPL_0019,0,inactive,activation,epic_meaning,evening,3091,778,317,0.2519,0.4081,0.0096,GOOD
TPL_0020,0,inactive,activation,epic_meaning,evening,4269,1299,673,0.3043,0.5184,0.0097,GOOD
