template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
0_lifecycle_stage_trial_T1_Seed,0,lifecycle_stage_trial,Conversion,accomplishment,evening,3341,882,439,0.2642,0.4979,0.0109,GOOD
0_lifecycle_stage_trial_T2_Tease,0,lifecycle_stage_trial,Conversion,accomplishment,evening,821,123,67,0.1510,0.5507,0.0074,GOOD
0_lifecycle_stage_trial_T3_Anchor,0,lifecycle_stage_trial,Conversion,accomplishment,evening,1591,109,56,0.0688,0.5201,0.0083,NEUTRAL
0_lifecycle_stage_trial_T4_Welcome,0,lifecycle_stage_trial,Conversion,accomplishment,evening,878,134,68,0.1535,0.5127,0.0054,GOOD
0_lifecycle_stage_trial_T5_WrapUp,0,lifecycle_stage_trial,Conversion,accomplishment,evening,3910,738,217,0.1889,0.2945,0.0082,NEUTRAL
0_lifecycle_stage_paid_T1_Seed,0,lifecycle_stage_paid,Retention,accomplishment,evening,3846,1107,508,0.2880,0.4598,0.0048,GOOD
0_lifecycle_stage_paid_T2_Tease,0,lifecycle_stage_paid,Retention,accomplishment,evening,1815,134,43,0.0742,0.3258,0.0118,NEUTRAL
0_lifecycle_stage_paid_T3_Anchor,0,lifecycle_stage_paid,Retention,accomplishment,evening,3677,670,166,0.1822,0.2486,0.0102,NEUTRAL
0_lifecycle_stage_paid_T4_Welcome,0,lifecycle_stage_paid,Retention,accomplishment,evening,2541,232,111,0.0915,0.4797,0.0133,NEUTRAL
0_lifecycle_stage_paid_T5_WrapUp,0,lifecycle_stage_paid,Retention,accomplishment,evening,4273,851,170,0.1992,0.2002,0.0138,NEUTRAL
0_lifecycle_stage_churned_T1_Seed,0,lifecycle_stage_churned,Win-back,accomplishment,evening,934,145,87,0.1559,0.6044,0.0132,GOOD
0_lifecycle_stage_churned_T2_Tease,0,lifecycle_stage_churned,Win-back,accomplishment,evening,1662,30,10,0.0182,0.3447,0.0347,BAD
0_lifecycle_stage_churned_T3_Anchor,0,lifecycle_stage_churned,Win-back,accomplishment,evening,3199,242,20,0.0757,0.0844,0.0369,BAD
0_lifecycle_stage_churned_T4_Welcome,0,lifecycle_stage_churned,Win-back,accomplishment,evening,3037,497,130,0.1639,0.2628,0.0150,NEUTRAL
0_lifecycle_stage_churned_T5_WrapUp,0,lifecycle_stage_churned,Win-back,accomplishment,evening,2020,411,223,0.2036,0.5449,0.0050,GOOD
1_lifecycle_stage_trial_T1_Seed,1,lifecycle_stage_trial,Conversion,accomplishment,evening,1285,219,112,0.1709,0.5127,0.0043,GOOD
1_lifecycle_stage_trial_T2_Tease,1,lifecycle_stage_trial,Conversion,accomplishment,evening,4584,256,44,0.0560,0.1738,0.0394,BAD
1_lifecycle_stage_trial_T3_Anchor,1,lifecycle_stage_trial,Conversion,accomplishment,evening,3482,615,181,0.1767,0.2950,0.0228,NEUTRAL
1_lifecycle_stage_trial_T4_Welcome,1,lifecycle_stage_trial,Conversion,accomplishment,evening,901,9,2,0.0110,0.2245,0.0199,BAD
1_lifecycle_stage_trial_T5_WrapUp,1,lifecycle_stage_trial,Conversion,accomplishment,evening,1164,193,82,0.1664,0.4263,0.0038,GOOD
1_lifecycle_stage_paid_T1_Seed,1,lifecycle_stage_paid,Retention,accomplishment,evening,1731,32,8,0.0189,0.2549,0.0389,BAD
1_lifecycle_stage_paid_T2_Tease,1,lifecycle_stage_paid,Retention,accomplishment,evening,3227,246,35,0.0762,0.1446,0.0356,BAD
1_lifecycle_stage_paid_T3_Anchor,1,lifecycle_stage_paid,Retention,accomplishment,evening,4422,1388,778,0.3141,0.5612,0.0031,GOOD
1_lifecycle_stage_paid_T4_Welcome,1,lifecycle_stage_paid,Retention,accomplishment,evening,2677,176,32,0.0658,0.1839,0.0224,BAD
1_lifecycle_stage_paid_T5_WrapUp,1,lifecycle_stage_paid,Retention,accomplishment,evening,2780,270,106,0.0971,0.3927,0.0103,NEUTRAL
1_lifecycle_stage_inactive_T1_Seed,1,lifecycle_stage_inactive,Reactivation,accomplishment,evening,3199,539,192,0.1685,0.3574,0.0203,NEUTRAL
1_lifecycle_stage_inactive_T2_Tease,1,lifecycle_stage_inactive,Reactivation,accomplishment,evening,4999,1099,429,0.2200,0.3907,0.0202,NEUTRAL
1_lifecycle_stage_inactive_T3_Anchor,1,lifecycle_stage_inactive,Reactivation,accomplishment,evening,1212,72,29,0.0598,0.4107,0.0121,NEUTRAL
1_lifecycle_stage_inactive_T4_Welcome,1,lifecycle_stage_inactive,Reactivation,accomplishment,evening,841,42,17,0.0510,0.4099,0.0207,NEUTRAL
1_lifecycle_stage_inactive_T5_WrapUp,1,lifecycle_stage_inactive,Reactivation,accomplishment,evening,2376,526,313,0.2214,0.5963,0.0140,GOOD
1_lifecycle_stage_churned_T1_Seed,1,lifecycle_stage_churned,Win-back,accomplishment,evening,4729,1491,768,0.3154,0.5157,0.0039,GOOD
1_lifecycle_stage_churned_T2_Tease,1,lifecycle_stage_churned,Win-back,accomplishment,evening,3746,1046,495,0.2793,0.4742,0.0101,GOOD
1_lifecycle_stage_churned_T3_Anchor,1,lifecycle_stage_churned,Win-back,accomplishment,evening,1354,20,2,0.0153,0.1183,0.0321,BAD
1_lifecycle_stage_churned_T4_Welcome,1,lifecycle_stage_churned,Win-back,accomplishment,evening,4169,818,166,0.1963,0.2030,0.0113,NEUTRAL
1_lifecycle_stage_churned_T5_WrapUp,1,lifecycle_stage_churned,Win-back,accomplishment,evening,2889,201,25,0.0698,0.1273,0.0265,BAD
2_lifecycle_stage_trial_T1_Seed,2,lifecycle_stage_trial,Conversion,accomplishment,evening,2131,447,223,0.2099,0.5008,0.0041,GOOD
2_lifecycle_stage_trial_T2_Tease,2,lifecycle_stage_trial,Conversion,accomplishment,evening,4951,294,26,0.0595,0.0900,0.0227,BAD
2_lifecycle_stage_trial_T3_Anchor,2,lifecycle_stage_trial,Conversion,accomplishment,evening,2630,610,302,0.2323,0.4955,0.0133,GOOD
