template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
TPL-FDF2995C,S4,paid,Increase gamification engagement • deepening engagement & retention,accomplishment,evening,3884,730,158,0.1881,0.2170,0.0099,NEUTRAL
TPL-5440FFFA,S4,paid,Increase gamification engagement • deepening engagement & retention,accomplishment,evening,2549,233,94,0.0917,0.4048,0.0083,NEUTRAL
TPL-F79AAE86,S4,paid,Increase gamification engagement • deepening engagement & retention,accomplishment,evening,2560,555,325,0.2172,0.5869,0.0138,GOOD
TPL-EBB90149,S4,paid,Increase gamification engagement • deepening engagement & retention,accomplishment,evening,2084,46,6,0.0222,0.1427,0.0290,BAD
TPL-9F44205A,S4,paid,Increase gamification engagement • deepening engagement & retention,accomplishment,evening,1654,302,129,0.1826,0.4300,0.0138,GOOD
TPL-70609D50,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,accomplishment,evening,2461,519,260,0.2110,0.5023,0.0028,GOOD
TPL-7B448BD4,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,accomplishment,evening,4563,1315,792,0.2882,0.6030,0.0063,GOOD
TPL-91C509E8,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,accomplishment,evening,1186,194,84,0.1642,0.4352,0.0059,GOOD
TPL-A41DDFDD,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,accomplishment,evening,846,43,14,0.0511,0.3283,0.0175,NEUTRAL
TPL-7F138BBA,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,accomplishment,evening,4115,801,197,0.1947,0.2463,0.0206,NEUTRAL
TPL-3CF45B8F,S4,inactive,Increase gamification engagement • compelling return value proposition,accomplishment,evening,3917,1053,669,0.2690,0.6361,0.0062,GOOD
TPL-AB1B1589,S4,inactive,Increase gamification engagement • compelling return value proposition,accomplishment,evening,2517,542,282,0.2155,0.5215,0.0064,GOOD
TPL-7C6E83C5,S4,inactive,Increase gamification engagement • compelling return value proposition,accomplishment,evening,1736,322,166,0.1857,0.5167,0.0099,GOOD
TPL-02E0ABF0,S4,inactive,Increase gamification engagement • compelling return value proposition,accomplishment,evening,3878,1037,543,0.2675,0.5244,0.0120,GOOD
TPL-46ED6BAB,S4,inactive,Increase gamification engagement • compelling return value proposition,accomplishment,evening,3555,293,33,0.0825,0.1142,0.0273,BAD
TPL-E350067F,S4,trial,Increase gamification engagement • rapid adoption & habit formation,accomplishment,evening,4539,252,32,0.0556,0.1284,0.0171,BAD
TPL-3C2ABA99,S4,trial,Increase gamification engagement • rapid adoption & habit formation,accomplishment,evening,1695,120,49,0.0713,0.4123,0.0086,NEUTRAL
