template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
TPL_0001,Slipping Subscribers,paid,engagement,accomplishment,evening,4217,833,223,0.1977,0.2679,0.0221,NEUTRAL
TPL_0002,Slipping Subscribers,paid,engagement,accomplishment,evening,898,9,2,0.0109,0.2932,0.0343,BAD
TPL_0003,Slipping Subscribers,paid,engagement,accomplishment,evening,2648,618,265,0.2335,0.4303,0.0108,GOOD
TPL_0004,Slipping Subscribers,paid,engagement,accomplishment,evening,1761,340,152,0.1934,0.4485,0.0033,GOOD
TPL_0005,Slipping Subscribers,paid,engagement,accomplishment,evening,4856,1048,323,0.2159,0.3089,0.0115,NEUTRAL
TPL_0006,Slipping Subscribers,paid,engagement,accomplishment,evening,880,9,2,0.0108,0.2511,0.0167,BAD
TPL_0007,Slipping Subscribers,paid,engagement,accomplishment,evening,3131,521,204,0.1666,0.3935,0.0125,NEUTRAL
TPL_0008,Slipping Subscribers,paid,engagement,accomplishment,evening,3355,580,209,0.1730,0.3607,0.0173,NEUTRAL
TPL_0009,Slipping Subscribers,paid,engagement,accomplishment,evening,2265,192,84,0.0849,0.4419,0.0082,NEUTRAL
TPL_0010,Slipping Subscribers,paid,engagement,accomplishment,evening,3236,841,517,0.2601,0.6159,0.0077,GOOD
TPL_0011,Slipping Subscribers,paid,engagement,accomplishment,evening,1746,336,146,0.1928,0.4365,0.0081,GOOD
TPL_0012,Slipping Subscribers,paid,engagement,accomplishment,evening,3193,241,41,0.0756,0.1715,0.0188,BAD
TPL_0013,Slipping Subscribers,paid,engagement,accomplishment,evening,4697,1531,737,0.3261,0.4814,0.0033,GOOD
TPL_0014,Slipping Subscribers,paid,engagement,accomplishment,evening,1674,118,56,0.0708,0.4759,0.0140,NEUTRAL
TPL_0015,Slipping Subscribers,paid,engagement,accomplishment,evening,4200,1275,568,0.3037,0.4458,0.0109,GOOD
TPL_0016,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,4024,1189,491,0.2956,0.4137,0.0107,GOOD
TPL_0017,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,4910,1648,911,0.3356,0.5532,0.0065,GOOD
TPL_0018,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,3838,187,16,0.0489,0.0882,0.0222,BAD
TPL_0019,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,1283,78,38,0.0615,0.4971,0.0218,NEUTRAL
TPL_0020,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,1970,41,14,0.0211,0.3429,0.0157,BAD
TPL_0021,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,2660,622,253,0.2340,0.4079,0.0092,GOOD
TPL_0022,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,1876,372,172,0.1986,0.4632,0.0077,GOOD
TPL_0023,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,4799,1586,684,0.3306,0.4313,0.0071,GOOD
TPL_0024,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,1737,334,162,0.1923,0.4855,0.0090,GOOD
TPL_0025,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,1615,112,40,0.0694,0.3656,0.0086,NEUTRAL
TPL_0026,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,3509,622,247,0.1774,0.3984,0.0219,NEUTRAL
TPL_0027,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,3732,320,19,0.0859,0.0623,0.0384,BAD
TPL_0028,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,4776,1020,299,0.2136,0.2931,0.0098,NEUTRAL
TPL_0029,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,2797,272,124,0.0976,0.4590,0.0129,NEUTRAL
TPL_0030,Flight-Risk Subscribers,paid,engagement,accomplishment,evening,3685,672,268,0.1825,0.3990,0.0157,NEUTRAL
TPL_0031,Lost Customers,churned,engagement,accomplishment,evening,3313,858,456,0.2593,0.5326,0.0115,GOOD
TPL_0032,Lost Customers,churned,engagement,accomplishment,evening,3969,1142,672,0.2878,0.5885,0.0091,GOOD
TPL_0033,Lost Customers,churned,engagement,accomplishment,evening,3462,279,24,0.0807,0.0879,0.0231,BAD
TPL_0034,Lost Customers,churned,engagement,accomplishment,evening,3935,1126,563,0.2863,0.5006,0.0114,GOOD
TPL_0035,Lost Customers,churned,engagement,accomplishment,evening,4546,253,23,0.0557,0.0946,0.0191,BAD
TPL_0036,Lost Customers,churned,engagement,accomplishment,evening,1802,133,66,0.0739,0.5031,0.0130,NEUTRAL
TPL_0037,Lost Customers,churned,engagement,accomplishment,evening,4951,1636,801,0.3305,0.4899,0.0057,GOOD
TPL_0038,Lost Customers,churned,engagement,accomplishment,evening,4147,215,28,0.0519,0.1333,0.0150,BAD
TPL_0039,Lost Customers,churned,engagement,accomplishment,evening,4583,256,49,0.0560,0.1943,0.0236,BAD
TPL_0040,Lost Customers,churned,engagement,accomplishment,evening,4156,1229,686,0.2959,0.5584,0.0066,GOOD
TPL_0041,Lost Customers,churned,engagement,accomplishment,evening,4720,1512,914,0.3204,0.6051,0.0104,GOOD
TPL_0042,Lost Customers,churned,engagement,accomplishment,evening,3718,318,44,0.0856,0.1388,0.0335,BAD
