template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
T_0,Active Practitioners,trial,conversion,accomplishment,evening,3096,733,441,0.2368,0.6028,0.0061,GOOD
T_1,Active Practitioners,trial,conversion,accomplishment,evening,2374,497,303,0.2095,0.6112,0.0094,GOOD
T_2,Active Practitioners,trial,conversion,accomplishment,evening,3003,489,99,0.1629,0.2041,0.0122,NEUTRAL
T_3,Active Practitioners,trial,conversion,accomplishment,evening,4648,975,265,0.2100,0.2726,0.0133,NEUTRAL
T_4,Active Practitioners,trial,conversion,accomplishment,evening,2777,269,93,0.0971,0.3474,0.0161,NEUTRAL
T_5,Active Practitioners,paid,retention,accomplishment,evening,1753,326,184,0.1864,0.5658,0.0137,GOOD
T_6,Active Practitioners,paid,retention,accomplishment,evening,1603,110,45,0.0691,0.4166,0.0222,NEUTRAL
T_7,Active Practitioners,paid,retention,accomplishment,evening,4838,282,26,0.0585,0.0937,0.0276,BAD
T_8,Active Practitioners,paid,retention,accomplishment,evening,3188,536,181,0.1683,0.3392,0.0199,NEUTRAL
T_9,Active Practitioners,paid,retention,accomplishment,evening,809,8,2,0.0101,0.3339,0.0274,BAD
T_10,Active Practitioners,churned,reactivation,accomplishment,evening,1345,84,36,0.0630,0.4345,0.0230,NEUTRAL
T_11,Active Practitioners,churned,reactivation,accomplishment,evening,2544,160,13,0.0632,0.0827,0.0218,BAD
T_12,Active Practitioners,churned,reactivation,accomplishment,evening,2309,198,77,0.0859,0.3919,0.0139,NEUTRAL
T_13,Active Practitioners,churned,reactivation,accomplishment,evening,2116,172,77,0.0813,0.4530,0.0106,NEUTRAL
T_14,Active Practitioners,churned,reactivation,accomplishment,evening,4525,1297,580,0.2868,0.4479,0.0065,GOOD
T_15,Active Practitioners,inactive,re-engagement,accomplishment,evening,3766,695,267,0.1848,0.3851,0.0222,NEUTRAL
T_16,Active Practitioners,inactive,re-engagement,accomplishment,evening,1266,77,39,0.0611,0.5151,0.0125,NEUTRAL
T_17,Active Practitioners,inactive,re-engagement,accomplishment,evening,3901,1046,541,0.2683,0.5177,0.0021,GOOD
T_18,Active Practitioners,inactive,re-engagement,accomplishment,evening,1421,22,5,0.0159,0.2468,0.0265,BAD
T_19,Active Practitioners,inactive,re-engagement,accomplishment,evening,2195,51,7,0.0233,0.1552,0.0160,BAD
T_20,Advanced Innovators,trial,conversion,accomplishment,evening,1895,362,216,0.1914,0.5989,0.0039,GOOD
T_21,Advanced Innovators,trial,conversion,accomplishment,evening,2332,484,274,0.2079,0.5670,0.0066,GOOD
T_22,Advanced Innovators,trial,conversion,accomplishment,evening,2505,226,119,0.0906,0.5292,0.0126,NEUTRAL
T_23,Advanced Innovators,trial,conversion,accomplishment,evening,815,122,56,0.1506,0.4658,0.0138,GOOD
T_24,Advanced Innovators,trial,conversion,accomplishment,evening,2762,619,254,0.2242,0.4107,0.0133,GOOD
T_25,Advanced Innovators,paid,retention,accomplishment,evening,1967,41,9,0.0211,0.2238,0.0187,BAD
T_26,Advanced Innovators,paid,retention,accomplishment,evening,2069,45,13,0.0221,0.3072,0.0243,BAD
T_27,Advanced Innovators,paid,retention,accomplishment,evening,1159,189,84,0.1637,0.4456,0.0068,GOOD
T_28,Advanced Innovators,paid,retention,accomplishment,evening,1639,29,6,0.0180,0.2342,0.0174,BAD
T_29,Advanced Innovators,paid,retention,accomplishment,evening,2214,451,214,0.2040,0.4758,0.0093,GOOD
T_30,Advanced Innovators,churned,reactivation,accomplishment,evening,3859,189,34,0.0491,0.1818,0.0247,BAD
T_31,Advanced Innovators,churned,reactivation,accomplishment,evening,3935,746,239,0.1896,0.3207,0.0209,NEUTRAL
T_32,Advanced Innovators,churned,reactivation,accomplishment,evening,3512,286,17,0.0817,0.0629,0.0334,BAD
T_33,Advanced Innovators,churned,reactivation,accomplishment,evening,4620,1341,556,0.2903,0.4153,0.0070,GOOD
T_34,Advanced Innovators,churned,reactivation,accomplishment,evening,3934,196,22,0.0499,0.1130,0.0255,BAD
T_35,Advanced Innovators,inactive,re-engagement,accomplishment,evening,2364,495,255,0.2097,0.5157,0.0057,GOOD
T_36,Advanced Innovators,inactive,re-engagement,accomplishment,evening,1962,41,9,0.0211,0.2290,0.0201,BAD
T_37,Advanced Innovators,inactive,re-engagement,accomplishment,evening,4287,228,43,0.0532,0.1896,0.0249,BAD
T_38,Advanced Innovators,inactive,re-engagement,accomplishment,evening,3725,683,225,0.1836,0.3299,0.0214,NEUTRAL
T_39,Advanced Innovators,inactive,re-engagement,accomplishment,evening,3190,769,483,0.2412,0.6282,0.0031,GOOD
T_40,Basic Observers,trial,conversion,accomplishment,evening,1806,133,63,0.0740,0.4748,0.0082,NEUTRAL
T_41,Basic Observers,trial,conversion,accomplishment,evening,3552,634,194,0.1786,0.3072,0.0198,NEUTRAL
T_42,Basic Observers,trial,conversion,accomplishment,evening,2633,246,130,0.0937,0.5298,0.0191,NEUTRAL
T_43,Basic Observers,trial,conversion,accomplishment,evening,4893,1061,384,0.2170,0.3622,0.0141,NEUTRAL
T_44,Basic Observers,trial,conversion,accomplishment,evening,959,11,3,0.0115,0.3324,0.0206,BAD
T_45,Basic Observers,paid,retention,accomplishment,evening,3998,201,16,0.0505,0.0829,0.0333,BAD
T_46,Basic Observers,paid,retention,accomplishment,evening,4959,1085,249,0.2188,0.2295,0.0178,NEUTRAL
T_47,Basic Observers,paid,retention,accomplishment,evening,4354,1243,544,0.2856,0.4383,0.0127,GOOD
T_48,Basic Observers,paid,retention,accomplishment,evening,2235,188,48,0.0842,0.2603,0.0112,NEUTRAL
T_49,Basic Observers,paid,retention,accomplishment,evening,4270,850,210,0.1992,0.2473,0.0096,NEUTRAL
T_50,Basic Observers,churned,reactivation,accomplishment,evening,3706,951,450,0.2568,0.4740,0.0037,GOOD
T_51,Basic Observers,churned,reactivation,accomplishment,evening,2992,486,129,0.1626,0.2665,0.0194,NEUTRAL
T_52,Basic Observers,churned,reactivation,accomplishment,evening,4532,936,262,0.2066,0.2804,0.0100,NEUTRAL
T_53,Basic Observers,churned,reactivation,accomplishment,evening,2875,650,391,0.2262,0.6020,0.0092,GOOD
T_54,Basic Observers,churned,reactivation,accomplishment,evening,3779,182,31,0.0484,0.1739,0.0194,BAD
T_55,Basic Observers,inactive,re-engagement,accomplishment,evening,1988,42,5,0.0213,0.1250,0.0195,BAD
T_56,Basic Observers,inactive,re-engagement,accomplishment,evening,3874,727,232,0.1878,0.3196,0.0103,NEUTRAL
T_57,Basic Observers,inactive,re-engagement,accomplishment,evening,1108,63,18,0.0574,0.2874,0.0082,NEUTRAL
T_58,Basic Observers,inactive,re-engagement,accomplishment,evening,2538,160,23,0.0631,0.1478,0.0206,BAD
T_59,Basic Observers,inactive,re-engagement,accomplishment,evening,4713,269,48,0.0573,0.1786,0.0272,BAD
T_60,Casual Inactive,trial,conversion,accomplishment,evening,1611,291,180,0.1807,0.6190,0.0077,GOOD
T_61,Casual Inactive,trial,conversion,accomplishment,evening,817,8,0,0.0102,0.1001,0.0308,BAD
T_62,Casual Inactive,trial,conversion,accomplishment,evening,4651,976,303,0.2100,0.3105,0.0113,NEUTRAL
T_63,Casual Inactive,trial,conversion,accomplishment,evening,2496,225,115,0.0904,0.5125,0.0132,NEUTRAL
